,Name,Source,destination,date_of_journey,fare,duration,arrival_time,departure_time,stops
0,Go First,BLR-Bengaluru,PNQ-Pune,2021-11-28,5177,1h 20m,19:00,17:40,Non Stop
1,SpiceJet,BLR-Bengaluru,PNQ-Pune,2021-11-28,5177,1h 25m,11:10,09:45,Non Stop
2,Go First,BLR-Bengaluru,PNQ-Pune,2021-11-28,5177,1h 30m,08:30,07:00,Non Stop
3,Go First,BLR-Bengaluru,PNQ-Pune,2021-11-28,5177,1h 30m,18:15,16:45,Non Stop
4,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,5178,1h 35m,10:40,09:05,Non Stop
5,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,5651,1h 30m,17:45,16:15,Non Stop
6,SpiceJet,BLR-Bengaluru,PNQ-Pune,2021-11-28,5703,3h 35m,14:50,11:15,1 stop at Hyderabad
7,Air Asia,BLR-Bengaluru,PNQ-Pune,2021-11-28,5860,1h 35m,14:25,12:50,Non Stop
8,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,5861,1h 30m,12:50,11:20,Non Stop
9,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,6806,1h 30m,19:45,18:15,Non Stop
10,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,8171,4h 15m,13:25,09:10,1 stop at Chennai
11,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,8171,6h 20m,13:25,07:05,1 stop at Chennai
12,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,8958,9h 35m,09:20,23:45,1 stop at Hyderabad
13,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,3h 40m,16:45,13:05,1 stop at Hyderabad
14,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,4h 50m,15:05,10:15,1 stop at Hyderabad
15,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,5h 45m,15:05,09:20,1 stop at Hyderabad
16,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,6h 30m,16:45,10:15,1 stop at Hyderabad
17,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,7h 25m,16:45,09:20,1 stop at Hyderabad
18,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,7h 55m,15:05,07:10,1 stop at Hyderabad
19,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,9011,9h 35m,16:45,07:10,1 stop at Hyderabad
20,SpiceJet,BLR-Bengaluru,PNQ-Pune,2021-11-28,11416,8h 40m,14:35,05:55,1 stop at Goa
21,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,12581,6h 20m,17:15,10:55,1 stop at Chennai
22,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,12581,8h 5m,17:15,09:10,1 stop at Chennai
23,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,12581,10h 10m,17:15,07:05,1 stop at Chennai
24,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,13211,7h 50m,13:40,05:50,1 stop at Kochi
25,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,13526,3h 55m,16:40,12:45,1 stop at Goa
26,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,13526,6h 30m,16:40,10:10,1 stop at Goa
27,IndiGo,BLR-Bengaluru,PNQ-Pune,2021-11-28,13526,10h 25m,16:40,06:15,1 stop at Goa
28,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,19h 10m,16:20,21:10,1 stop at Delhi
29,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,20h 40m,16:20,19:40,1 stop at Delhi
30,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,21h 25m,18:35,21:10,1 stop at Delhi
31,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,21h 30m,16:20,18:50,1 stop at Delhi
32,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,22h 55m,18:35,19:40,1 stop at Delhi
33,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,16624,23h 45m,18:35,18:50,1 stop at Delhi
34,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,17569,15h 25m,12:35,21:10,1 stop at Delhi
35,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,17569,16h 55m,12:35,19:40,1 stop at Delhi
36,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,17569,17h 45m,12:35,18:50,1 stop at Delhi
37,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,17989,28h 35m,12:35,08:00,1 stop at Delhi
38,Go First,BLR-Bengaluru,PNQ-Pune,2021-11-28,18224,13h 45m,10:45,21:00,1 stop at Delhi
39,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,19459,25h 5m,12:35,11:30,1 stop at Delhi
40,Vistara,BLR-Bengaluru,PNQ-Pune,2021-11-28,19459,26h 50m,12:35,09:45,1 stop at Delhi
41,Air India,BLR-Bengaluru,PNQ-Pune,2021-11-28,19669,21h 10m,18:10,21:00,1 stop at Delhi
